board,outline_mm2,Cu_layer_mm,Cu_area_by_layer_mm2,Cu_g,FR4_g,mask_g,bare_nominal_g,scenario_low_g,scenario_high_g
Entry_source,2925.0,"[0.07, 0.07]","[2544.7943292224204, 2662.6444059912483]",3.3162439860437973,7.630069978122746,0.0702,11.016513964166544,8.98040275545473,13.243631037388454
TDK_source,3900.0,"[0.07, 0.07]","[3479.6721308154906, 3441.3905437781445]",4.40276726814475,10.221274026241796,0.09359999999999999,14.717641294386546,11.999820657275237,17.69091232111259
Regen_source,960.0,"[0.07, 0.07]","[806.2193472511304, 762.6941690012424]",1.0093743053292736,2.4512826911063836,0.023039999999999998,3.4836969964356572,2.837730956311206,4.191493566686158
Entry_R22,2184.0,"[0.07, 0.035, 0.035, 0.07]","[1877.865662450016, 2018.1124881981705, 1892.9671388885217, 1839.719856035243]",3.6213248421788733,5.393653432360292,0.052416,9.067394274539165,7.362838846542991,10.909646352789832
Power_R22,4510.0,"[0.07, 0.035, 0.035, 0.07]","[4119.952824511251, 4201.343401803103, 4228.52870574628, 4048.4061151522915]",7.848039330154495,11.257369576680139,0.10823999999999999,19.21364890683463,15.613819344188864,23.099760408561707
